code,diagnosis_en,diagnosis_sr_latn,diagnosis_ru,diagnosis_lat
A00,Cholera,Kolera,Холера,Cholera
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae","Kolera koju uzrokuje Vibrio cholerae 01, biovar cholerae","Холера, вызванная холерным вибрионом 01, биовар cholerae",Cholera classica
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor","Kolera koju uzrokuje Vibrio cholerae 01, biovar El Tor","Холера, вызванная холерным вибрионом 01, биовар eltor",Cholera El Tor
A00.9,"Cholera, unspecified","Kolera, neoznačena",Холера неуточненная,"Cholera, non specificata"
A01,Typhoid and paratyphoid fevers,Tifusna groznica i paratifusna groznica,Тиф и паратиф,Febris typhica et febris paratyphica
A01.0,Typhoid fever,Trbušni tifus,Брюшной тиф,Typhus abdominalis
A01.1,Paratyphoid fever A,Paratifus A,Паратиф A,Paratyphus A
A01.2,Paratyphoid fever B,Paratifus B,Паратиф B,Paratyphus B
A01.3,Paratyphoid fever C,Paratifus C,Паратиф C,Paratyphus C
A01.4,"Paratyphoid fever, unspecified","Paratifus, neoznačen",Паратиф неуточненный,"Paratyphus, non specificatus"
A02,Other salmonella infections,Druge infekcije uzrokovane salmonelama,Другие сальмонеллезные инфекции,Salmonelloses aliae
A02.0,Salmonella enteritis,Zapaljenje tankog creva uzrokovano salmonelama,Сальмонеллезный энтерит,Enteritis salmonellosa
A02.1,Salmonella sepsis,Sepsa uzrokovana salmonelom,Сальмонеллезная септицемия,Salmonellosis septica
A02.2,Localized salmonella infections,Lokalizovane infekcije uzrokovane salmonelom,Локализованная сальмонеллезная инфекция,Infectiones salmonellosae localisatae
A02.8,Other specified salmonella infections,Ostale označene infekcije salmonelama,Другая уточненная сальмонеллезная инфекция,"Infectiones salmonellosae aliae, specificatae"
A02.9,"Salmonella infection, unspecified","Infekcija salmonelom, neoznačena",Сальмонеллезная инфекция неуточненная,"Infectio salmonellosa, non specificata"
A03,Shigellosis,"Šigeloza, uzročnik Shigellae",Шигеллез,Shigellosis
A03.0,Shigellosis due to Shigella dysenteriae,"Šigeloza, uzročnik Shigella dysenteriae","Шигеллез, вызванный Shigella dysenteriae",Dysenteria bacillaris per Shigellam dysenteriae
A03.1,Shigellosis due to Shigella flexneri,"Šigeloza, uzročnik Shigell flexneri","Шигеллез, вызванный Shigella flexneri",Dysenteria bacillaris per Shigellam flexneri
A03.2,Shigellosis due to Shigella boydii,"Šigeloza, uzročnik Shigella boydi","Шигеллез, вызванный Shigella boydii",Dysenteria bacillaris per Shigellam boydii
A03.3,Shigellosis due to Shigella sonnei,"Šigeloza, uzročnik Shigella sonnei","Шигеллез, вызванный Shigella sonnei",Dysenteria bacillaris per Shigellam sonnei
A03.8,Other shigellosis,Ostale šigeloze,Другой шигеллез,Shigelloses aliae
A03.9,"Shigellosis, unspecified","Šigeloza, neoznačena",Шигеллез неуточненный,"Shigellosis, non specificata"
A04,Other bacterial intestinal infections,Ostale bakterijske crevne infekcije,Другие бактериальные кишечные инфекции,Infectiones intestinales bacteriales aliae
A04.0,Enteropathogenic Escherichia coli infection,Crevna infekcija uzrokovana enteropatogenom Escherichia coli,"Энтеропатогенная инфекция, вызванная Escherichia coli",Infectio intestinalis per Escherichiam coli enteropathogenem
A04.1,Enterotoxigenic Escherichia coli infection,Crevna infekcija uzrokovana enterotoksigenom Escherichia coli,"Энтеротоксигенная инфекция, вызванная Escherichia coli",Infectio intestinalis per Escherichiam coli enterotoxigenem
A04.2,Enteroinvasive Escherichia coli infection,Crevna infekcija uzrokovana enteroinvazivnom Escherichia coli,"Энтероинвазивная инфекция, вызванная Escherichia coli",Infectio intestinalis per Escherichiam coli enteroinvasivam
A04.3,Enterohaemorrhagic Escherichia coli infection,Crevna infekcija uzrokovana enterohemoragijskom Escherichia coli,"Энтерогеморрагическая инфекция, вызванная Escherichia coli",Infectio intestinalis per Escherichiam coli enterohaemorrhagicam
A04.4,Other intestinal Escherichia coli infections,Ostale crevne infekcije koje uzrokuje Escherichia coli,"Другие кишечные инфекции, вызванные Escherichia coli",Infectiones intestinales per Escherichiam coli aliae
A04.5,Campylobacter enteritis,Zapaljenje tankog creva koje uzrokuje Campylobacter,"Энтерит, вызванный Campylobacter",Enteritis campylobacterialis
A04.6,Enteritis due to Yersinia enterocolitica,Zapaljenje tankog creva koje uzrokuje Yersinia enterocolitica,"Энтерит, вызванный Yersinia enterocolitica",Enteritis yersiniosa enterocolitica
A04.7,Enterocolitis due to Clostridium difficile,Zapaljenje tankog creva koje uzrokuje Clostridium difficile,"Энтероколит, вызванный Clostridium difficile",Enterocolitis per Clostridium difficile
A04.8,Other specified bacterial intestinal infections,Ostale označene bakterijske crevne infekcije,Другие уточненные бактериальные кишечные инфекции,"Infectiones intestinales bacteriales aliae, specificatae"
A04.9,"Bacterial intestinal infection, unspecified","Bakterijska crevna infekcija, neoznačena",Бактериальная кишечная инфекция неуточненная,"Infectio intestinalis bacterialis, non specificata"
A05,"Other bacterial foodborne intoxications, not elsewhere classified","Ostala trovanja hranom uzrokovana bakterijama, neklasifikovana na drugom mestu",Другие бактериальные пищевые отравления,"Intoxicationes alimentariae bacteriales aliae, non alibi classificatae"
A05.0,Foodborne staphylococcal intoxication,Trovanje hranom uzrokovano stafilokokom,Стафилококковое пищевое отравление,Intoxicatio allimentaria staphylococcica
A05.1,Botulism,Botulizam,Ботулизм,Botulismus
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,"Trovanje hranom, uzročnik Clostridium perfringens (Clostridium welchii)","Пищевое отравление, вызванное Clostridium perfringens [Clostridium weichii] ",Intoxicato ailmentaria per Clostridium perfringentem (Clostridium welchii)
A05.3,Foodborne Vibrio parahaemolyticus intoxication,"Trovanje hranom, uzročnik Vibrio parahaemolytica","Пищевое отравление, вызванное Vibrio parahaemolyticus",Intoxicatio alimentaria per Vibrionem parahaemolyticam
A05.4,Foodborne Bacillus cereus intoxication,"Trovanje hranom, uzročnik Bacillus cereus","Пищевое отравление, вызванное Bacillus cereus",Intoxicatio alimentaria per Bacillum cereum
A05.8,Other specified bacterial foodborne intoxications,Ostala označena trovanja hranom uzrokovana bakterijama,Другие уточненные бактериальные пищевые отравления,"Intoxicationes alimentariae bacteriales aliae, specificatae"
A05.9,"Bacterial foodborne intoxication, unspecified","Trovanje hranom uzrokovano bakterijama, neoznačeno",Бактериальное пищевое отравление неуточненное,"Intoxicatio alimentaria bacterialis, non specificata"
A06,Amoebiasis,Amebijaza,Амебиаз,Amoebiasis
A06.0,Acute amoebic dysentery,Akutna amebna dizenterija,Острая амебная дизентерия,Dysenteria amoebica acuta
A06.1,Chronic intestinal amoebiasis,Hronična amebna dizenerija,Хронический кишечный амебиаз,Amoebiasis intestinalis chronica
A06.2,Amoebic nondysenteric colitis,Nedizenterično zapaljenje debelog creva uzrokovano amebama,Амебный недизентерийный колит,Colitis amoebica non dysenterica
A06.3,Amoeboma of intestine,"Amebom, tumor creva uzrokovan amebama",Амебома кишечника,Amoeboma intestinale
A06.4,Amoebic liver abscess,Apsces jetre uzrokovan amebama,Амебный абсцесс печени,Abscessus hepatis amoebicus
A06.5,Amoebic lung abscess,Apsces pluća uzrokovan amebama,Амебный абсцесс легкого (J99.8*),Abscessus pulmonum amoebicus
A06.6,Amoebic brain abscess,Apsces mozga uzrokovan amebama,Амебный абсцесс головного мозга (G07*),Abscessus cerebri amoebicus
A06.7,Cutaneous amoebiasis,Amebijaza kože,Кожный амебиаз,Amoebiasis cutanea
A06.8,Amoebic infection of other sites,Amebna infekcija drugih lokalizacija,Амебная инфекция другой локализации,Infectio amoebica localisationum aliorum
A06.9,"Amoebiasis, unspecified","Amebijaza, neoznačena",Амебиаз неуточненный,"Amoebiasis, non specificata"
A07,Other protozoal intestinal diseases,Ostale crevne infekcije uzrokovane protozoama,Другие протозойные кишечные болезни,Infectiones intestinales protozoicae aliae
A07.0,Balantidiasis,"Balantidijaza, uzročnik Balantidium coli",Балантидиаз,Balantidiasis
A07.1,Giardiasis [lambliasis],"Đardijaza, uzročnik Lamblia intestinalis",Жиардиаз [лямблиоз],Giardiasis [lambliasis]
A07.2,Cryptosporidiosis,"Kriptosporidijaza, uzročnik Cryptosporidium",Криптоспоридиоз,Cryptosporidiasis
A07.3,Isosporiasis,"Izosporijaza, uzročnik Isospora belli i Isospora hominis",Изоспороз,Isosporiasis
A07.8,Other specified protozoal intestinal diseases,Ostale označene crevne infekcije uzrokovane protozoama,Другие уточненные протозойные кишечные болезни,"Infectiones intestinales protozoicae aliae, specificatae"
A07.9,"Protozoal intestinal disease, unspecified","Crevna infekcija uzrokovana protozoama, neoznačena",Протозойная кишечная болезнь неуточненная,"Infectio intestinalis protozoica, non specificata"
A08,Viral and other specified intestinal infections,Crevne infekcije uzrokovane virusima,Вирусные и другие уточненные кишечные инфекции,Infectiones intestinales virales
A08.0,Rotaviral enteritis,Zapaljenje tankog creva uzrokovano rotavirusima,Ротавирусный энтерит,Enteritis rotaviralis
A08.1,Acute gastroenteropathy due to Norovirus,Akutno zapaljenje želuca i tankog creva uzrokovano Norwalk virusom,"Острая гастроэнтеропатия, вызванная возбудителем Норволк",Gastroenteritis acuta Norwalk
A08.2,Adenoviral enteritis,Zapljenje tankog creva uzrokovano adenovirusima,Аденовирусный энтерит,Enteritis adenoviralis
A08.3,Other viral enteritis,Ostala zapaljenja tankog creva uzrokovano virusima,Другие вирусные энтериты,Enteritides virales aliae
A08.4,"Viral intestinal infection, unspecified","Crevna infekcija uzrokovana virusima, neoznačena",Вирусная кишечная инфекция неуточненная,"Infectio intestinalis viralis, non specificata"
A08.5,Other specified intestinal infections,Ostale označene crevne infekcije,Другие уточненные кишечные инфекции,"Infectiones intestinales aliae, specificatae"
A09,Other gastroenteritis and colitis of infectious and unspecified origin,Drugi gastroenteritis i kolitis infektivnog ili neoznačenog porekla,Диарея и гастроэнтерит предположительно инфекционного происхождения,Gastroenteritis et colitis origine infectiva et non specificata alia
A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,Drugi i neoznačeni gastroenteritis i kolitis infektivnog porekla,Другой и неуточненный гастроэнтерит и колит инфекционного происхождения,Gastroenteritis et colitis origine infectiva alia et non specificata
A09.9,Gastroenteritis and colitis of unspecified origin,Gastroenteritis i kolitis neoznačenog porekla,Гастроэнтерит и колит неуточненного происхождения,Gastroenteritis et colitis origine non specificata
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Tuberkuloza organa za disanje potvrđena bakteriološki i histološki,"Туберкулез органов дыхания, подтвержденный бактериологически и гистологически","Tuberculosis organorum respiratoriorum, per bacteriologiam et histologiam confirmata"
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberkuloza pluća, potvrđena mikroskopijom ispljuvka","Туберкулез легких, подтвержденный бактериоскопически с наличием или отсутствием роста культуры","Tuberculosis pulmonum, per microscopiam sputi confirmata"
A15.1,"Tuberculosis of lung, confirmed by culture only","Tuberkuloza pluća, potvrđena samo kulturom","Туберкулез легких, подтвержденный только ростом культуры",Tuberculosis pulmonum per culturam solum confirmata
A15.2,"Tuberculosis of lung, confirmed histologically","Tuberkuloza pluća, potvrđena histološki","Туберкулез легких, подтвержденный гистологически","Tuberculosis pulmonum, per histologiam confirmata"
A15.3,"Tuberculosis of lung, confirmed by unspecified means","Tuberkuloza pluća, potvrđena neoznačenim metodama","Туберкулез легких, подтвержденный неуточненными методами","Tuberculosis pulmonum, methodis non specificatis confirmata"
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Tuberkuloza limfnih čvorova u grudnom košu, potvrđena bakteriološki i histološki","Туберкулез внутригрудных лимфатических узлов, подтвержденный бактериологически и гистологически","Tuberculosis lymphonodorum intrathoracalium, per bacteriologiam et histologiam confirmata"
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Tuberkuloza grkljana, dušnika i bronhija, potvrđena bakteriološki i histološki","Туберкулез гортани, трахеи и бронхов, подтвержденный бактериологически и гистологически","Tuberculosis laryngis, tracheae et bronchi, per bacteriologiam et histologiam confirmata"
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically","Tuberkulozno zapaljenje plućne maramice, potvrđeno bakteriološki i histološki.","Туберкулезный плеврит, подтвержденный бактериологически и гистологически","Pleuritis tuberculosa, per bacteriologiam et histologiam confirmata"
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Primarna tuberkuloza pluća, potvrđena bakteriološki i histološki","Первичный туберкулез органов дыхания, подтвержденный бактериологически и гистологически","Tuberculosis pulmonum primaria, per bacteriologiam et histologiam confirmata"
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically","Ostale tuberkuloze pluća, potvrđene bakteriološki i histološki","Туберкулез других органов дыхания, подтвержденный бактериологически и гистологически","Tuberculoses pulmonum, per bacteriologiam et histologiam confirmatae aliae"
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Tuberkuloza organa za disanje, potvrđena bakteriološki i histološki, neoznačena","Туберкулез органов дыхания неуточненной локализации, подтвержденный бактериологически и гистологически","Tuberculosis organorum respiratoriorum, per bacteriologiam et histologiam confirmata, non specificata"
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Tuberkuloza organa za disanje, nepotvrđena bakteriološki i histološki","Туберкулез органов дыхания, не подтвержденный бактериологически или гистологически","Tuberculosis organorum respiratoriorum, per bacteriologiam et histologiam non confirmata"
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative","Tuberkuloza pluća, bakteriološki i histološki negativna",Туберкулез легких при отрицательных результатах бактериологических и гистологических исследований,Tuberculosis pulmonum per bacteriologiam et histologiam nonconfirmata
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberkuloza pluća, bez bakteriološkog i histološkog ispitivanja",Туберкулез легких без проведения бактериологического и гистологического исследований,"Tuberculosis pulmonum, sine exploratione bacteriologica et histologica"
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberkuloza pluća, bez bakteriološke ili histološke potvrde",Туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении,"Tuberculosis pulmonum, sine confirmatione bacteriologica sive histologica"
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Tuberkuloza limfnih čvorova u grudnom košu, bez bakteriološke ili histološke potvrde",Туберкулез внутригрудных лимфатических узлов без упоминания о бактериологическом или гистологическом подтверждении,"Tuberculosis lymphonodorum intrathoracalium, sine confirmatione bacteriologica sive histologica"
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberkuloza grkljana, dušnika i bronhija, bez bakteriološke ili histološke potvrde","Туберкулез гортани, трахеи и бронхов без упоминания о бактериологическом или гистологическом подтверждении","Tuberculosis laryngis, tracheae et bronchi, sine confirmatione bacteriologica sive histologica"
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Tuberkulozno zapaljenje plućna, bez bakteriološke ili histološke potvrde",Туберкулезный плеврит без упоминания о бактериологическом или гистологическом подтверждении,"Pleuritis tuberculosa, sine confirmatione bacteriologica sive histologica"
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,"Primarna tuberkuloza pluća, bez bakteriološke ili histološke potvrde",Первичный туберкулез органов дыхания без упоминания о бактериологическом или гистологическом подтверждении,"Tuberculosis pulmonum primaria, sine confirmatione bacteriologica sive histologica"
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Ostale tuberkuloze organa za disanje, bez bakteriološke ili histološke potvrde",Туберкулез других органов дыхания без упоминания о бактериологическом или гистологическом подтверждении,"Tuberculoses organorum respiratoriorum aliae, sine confirmatione bacteriologica sive histologica"
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Tuberkuloza organa za disanje, bez bakteriološke ili histološke potvrde, neoznačena",Туберкулез органов дыхания неуточненной локализации без упоминания о бактериологическом или гистологическом подтверждении,"Tuberculosis organorum respiratoriorum, sine confirmatione bacteriologica sive histologica, non specificata"
A17,Tuberculosis of nervous system,Tuberkuloza nervnog sistema,Туберкулез нервной системы,Tuberculosis systematis nervosi
A17.0,Tuberculous meningitis,Tuberkulozno zapaljenje moždanica,Туберкулезный менингит (G01*),Meningitis tuberculosa
A17.1,Meningeal tuberculoma,Tuberkulozni čvorić moždanica,Менингеальная туберкулема (G07*),Tuberculoma meningium
A17.8,Other tuberculosis of nervous system,Ostale tuberkuloze nervnog sistema,Туберкулез нервной системы другой локализаций,Tuberculoses systematis nervosi aliae
A17.9,"Tuberculosis of nervous system, unspecified","Tuberkuloza nervnog sistema, neoznačena",Туберкулез нервной системы неуточненный (G99.8*),"Tuberculosis systematis nervosi, non specificata"
A18,Tuberculosis of other organs,Tuberkuloza drugih organa,Туберкулез других органов,Tuberculosis organorum aliorum
A18.0,Tuberculosis of bones and joints,Tuberkuloza kostiju i zglobova,Туберкулез костей и суставов,Tuberculosis ossium et articulorum
A18.1,Tuberculosis of genitourinary system,Tuberkuloza polno-mokraćnog sistema,Туберкулез мочеполовых органов,Tuberculosis systematis genitourinarii
A18.2,Tuberculous peripheral lymphadenopathy,Tuberkuloza perifernih limfnih čvorova,Туберкулезная периферическая лимфаденопатия,Tuberculosis lymphoglandularum periphericarum
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberkuloza žlezda creva, trbušne maramice i mezenterijuma","Туберкулез кишечника, брюшины и брыжеечных лимфатических узлов","Tuberculosis glandularum intestinalium, peritonaealium et mesentericarum"
A18.4,Tuberculosis of skin and subcutaneous tissue,Tuberkuloza kože i potkožnog tkiva,Туберкулез кожи и подкожной клетчатки,Tuberculosis cutis et subcutis
A18.5,Tuberculosis of eye,Tuberkuloza oka,Туберкулез глаза,Tuberculosis oculi
A18.6,Tuberculosis of ear,Tuberkuloza uva,Туберкулез уха,Tuberculosis auris
A18.7,Tuberculosis of adrenal glands,Tuberkuloza nadbubrežnih žlezda,Туберкулез надпочечников (E35.1*),Tubercuiosis glandularum suprarenalium
A18.8,Tuberculosis of other specified organs,Tuberkuloza drugih označenih organa,Туберкулез других уточненных органов,"Tuberculosis organorum aliorum, specificatorum"
A19,Miliary tuberculosis,Rasejana tuberkuloza,Милиарный туберкулез,Tuberculosis miliaris
A19.0,Acute miliary tuberculosis of a single specified site,"Akutna rasejana tuberkuloza, označene lokalizacije",Острый милиарный туберкулез одной уточненной локализации,"Tuberculosis miliaris acuta, loci specificati"
A19.1,Acute miliary tuberculosis of multiple sites,"Akutna rasejana tuberkuloza, višestrukih lokalizacija",Острый милиарный туберкулез множественной локализации,"Tuberculosis miliaris acuta, locorum multiplicium"
